id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
0,0,30,1,28.0,1,2,0,60954.0,152.0,127,0
1,0,26,1,6.0,1,2,0,24532.0,152.0,216,0
2,0,40,1,0.0,0,1,1,2630.0,47.0,220,0
3,0,25,1,8.0,1,2,0,44259.0,152.0,223,0
4,1,26,1,28.0,1,2,0,33615.0,152.0,194,0
5,1,38,1,28.0,0,1,1,2630.0,124.0,229,1
6,1,40,1,8.0,0,1,1,37922.0,124.0,47,1
7,1,21,1,3.0,1,2,0,35219.0,152.0,271,0
8,0,57,1,33.0,1,1,0,34348.0,26.0,283,0
9,0,51,1,46.0,0,1,1,31149.0,124.0,279,0
10,1,25,1,15.0,0,2,0,40405.0,160.0,105,0
11,0,26,1,8.0,1,2,0,34953.0,152.0,179,0
12,1,26,1,28.0,1,2,0,32214.0,152.0,131,0
13,0,24,1,41.0,1,2,0,20588.0,152.0,74,0
14,1,23,1,47.0,0,2,0,33856.0,152.0,207,0
15,1,26,1,41.0,1,2,0,29643.0,152.0,246,0
16,0,63,1,46.0,0,1,1,34946.0,26.0,152,0
17,0,48,1,28.0,1,1,0,35922.0,122.0,260,0
18,0,42,1,8.0,0,1,1,40827.0,124.0,83,1
19,1,40,1,28.0,0,1,1,52778.0,13.0,58,0
20,0,22,1,35.0,1,2,0,28606.0,152.0,14,0
21,1,26,1,18.0,1,2,0,28605.0,152.0,84,0
22,0,45,1,8.0,1,1,0,41560.0,124.0,39,0
23,0,39,1,41.0,1,1,0,28288.0,153.0,135,0
24,0,37,1,28.0,1,1,0,73852.0,26.0,199,0
25,1,39,1,50.0,0,1,1,34852.0,163.0,280,0
26,0,41,1,20.0,0,1,1,2630.0,124.0,197,1
27,0,71,1,28.0,0,1,1,55516.0,26.0,216,1
28,0,20,1,4.0,0,2,1,24532.0,160.0,269,0
29,1,24,1,6.0,1,2,0,17863.0,152.0,188,0
30,1,23,1,8.0,1,2,0,23669.0,151.0,43,0
31,0,28,1,21.0,1,2,0,29032.0,152.0,192,0
32,0,39,1,28.0,0,1,1,28277.0,23.0,252,0
33,1,59,1,47.0,1,1,0,34087.0,113.0,92,0
34,1,46,1,41.0,0,1,1,31459.0,124.0,106,0
35,0,33,1,28.0,0,1,1,59136.0,124.0,34,0
36,1,26,1,35.0,1,2,0,22130.0,152.0,293,0
37,0,22,1,15.0,1,2,0,38849.0,152.0,189,0
38,0,23,1,9.0,1,2,0,31807.0,152.0,15,0
39,1,47,1,28.0,0,1,1,41777.0,124.0,88,0
40,0,58,1,28.0,0,1,1,28214.0,52.0,134,0
41,0,40,1,46.0,1,2,0,2630.0,1.0,228,0
42,1,45,1,8.0,0,1,1,2630.0,156.0,85,0
43,1,43,1,28.0,0,1,1,47383.0,124.0,189,1
44,0,23,1,50.0,0,2,0,24639.0,152.0,233,0
45,1,35,1,15.0,0,1,0,20275.0,124.0,237,0
46,0,47,1,3.0,0,1,1,33905.0,124.0,34,0
47,1,34,1,8.0,0,1,1,36744.0,124.0,91,0
48,0,55,1,28.0,0,3,1,78506.0,26.0,73,1
49,1,22,1,49.0,0,2,0,2630.0,152.0,108,0
50,1,24,1,8.0,0,2,1,34449.0,152.0,13,0
51,1,27,1,8.0,1,2,0,44990.0,152.0,37,0
52,1,34,1,29.0,1,2,0,47489.0,152.0,205,0
53,1,25,1,45.0,0,2,0,33147.0,152.0,262,0
54,1,55,1,28.0,0,1,1,2630.0,124.0,51,0
55,1,21,1,13.0,1,2,0,37428.0,160.0,98,0
56,0,28,1,8.0,1,2,0,31815.0,152.0,73,0
57,1,50,1,35.0,0,1,1,34491.0,152.0,262,1
58,0,32,1,13.0,0,2,0,29473.0,152.0,205,0
59,1,22,1,3.0,1,2,0,2630.0,152.0,203,0
60,0,64,1,28.0,0,1,1,30989.0,111.0,246,0
61,1,25,1,2.0,0,2,0,26375.0,152.0,273,0
62,0,49,1,10.0,0,3,1,34816.0,124.0,118,0
